№	Наименование ККН	ОКПД2	Детализация	Единица измерения ККН	Показатель (характеристика) товара	Требования к значениям показателей				Единица измерения характеристики	Категория	Код КТРУ	Код ККН	Товарная часть	Дата актуализации	Российский товар
						Минимальное значение показателя и/или максимальное значение показателя		Показатели (характеристики), для которых указаны варианты значений	Показатели, (характеристики) значения которых не могут изменяться							
						? (не менее)	? (не более)									
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
588	Герб Российской Федерации тип 1	13.92.29.190	028	ШТ	Исполнение				Многоцветный	-	Гербы Российской Федерации		13.92.29.190-028	02. Канцелярские товары и офисные принадлежности	27.04.2024	Да
					Способ печати			"Сублимационная; Шелкография"		-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Длина	37	43			СМ				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Ширина	33	35			СМ				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Материал			"Атлас; Сатен; Габардин; Искусственная замша"		-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Форма рамки				Французкий щит	-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Материал рамки				Дерево	-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Цвет рамки			"Темное дерево; Светлый бук; Темный бук; Орех"		-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Наличие деталей для крепления к стене				Да	-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Соответствие нормативно-технической документации				"Федеральный конституционный закон от 25.12.2000 № 2-ФКЗ (ред. от 30.12.2021) ""О Государственном гербе Российской Федерации"""	-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
589	Герб Российской Федерации тип 2	13.92.29.190	029	ШТ	Исполнение				Многоцветный	-	Гербы Российской Федерации		13.92.29.190-029	02. Канцелярские товары и офисные принадлежности	27.04.2024	Да
					Способ печати			"Сублимационная; Шелкография"		-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Длина	60	70			СМ				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Ширина	50	60			СМ				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Материал			"Атлас; Сатен; Габардин; Искусственная замша"		-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Форма рамки				Французкий щит	-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Материал рамки				Дерево	-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Цвет рамки			"Темное дерево; Светлый бук; Темный бук; Орех"		-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Наличие деталей для крепления к стене				Да	-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
					Соответствие нормативно-технической документации				"Федеральный конституционный закон от 25.12.2000 № 2-ФКЗ (ред. от 30.12.2021) ""О Государственном гербе Российской Федерации"""	-				02. Канцелярские товары и офисные принадлежности	27.04.2024	
590	Флажная продукция? тип 1	13.92.29.190	001	ШТ	Вид флага (знамени)				Государственный флаг Российской Федерации	-	Флаги Российской Федерации	13.92.29.190-00000011	13.92.29.190-001	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Вид флажной продукции				Флаг	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					По типу использования				На открытом воздухе	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип				Односторонний	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Длина			"135; 150"		СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Ширина			"90; 100"		СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал			"Полиэфирный шелк; Оксфорд; Флажная сетка"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Флагшток в комплекте				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Способ крепления			"Карман; Карман, петли - 2 шт.; Карман, петля"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Обшивка по периметру				Наличие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р 51130-2023; ГОСТ Р 51131-98; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
591	Флажная продукция? тип 2	13.92.29.190	014	ШТ	Вид флага (знамени)				Государственный флаг Российской Федерации	-	Флаги Российской Федерации на флагштоке	13.92.29.190-00000011	13.92.29.190-014	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Вид флажной продукции				Флаг	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					По типу использования				В помещении	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип				Односторонний	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Длина				135	СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Ширина				90	СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал			"Полиэфирный шелк; Оксфорд; Флажная сетка"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Флагшток в комплекте				Наличие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип флагштока				Напольный	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал флагштока			"Оцинкованная сталь с полимерным покрытием; Металл"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Высота флагштока	223	230			СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р 51130-2023; ГОСТ Р 51131-98; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
592	Флажная продукция? тип 3	13.92.29.190	017	ШТ	Вид флага (знамени)				Государственный флаг Российской Федерации	-	Флаги Российской Федерации на флагштоке	13.92.29.190-00000011	13.92.29.190-017	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Вид флажной продукции				Флаг	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					По типу использования				В помещении	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип				Односторонний	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Длина			"18; 22"		СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Ширина			"12; 15"		СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал				Полиэфирный шелк	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Флагшток в комплекте				Наличие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип флагштока				Ручной	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал флагштока				Пластик	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Высота флагштока	35				СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Герб Российской Федерации			"Наличие; Отсутствие"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р 51130-2023; ГОСТ Р 51131-98; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
593	Флажная продукция? тип 4	13.92.29.190	018	ШТ	Вид флага (знамени)				Государственный флаг Российской Федерации	-	Флаги Российской Федерации на флагштоке	13.92.29.190-00000011	13.92.29.190-018	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Вид флажной продукции				Флаг	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					По типу использования				В помещении	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип				Односторонний	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Длина				18	СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Ширина				12	СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал				Полиэфирный шелк	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Флагшток на подставке в комплекте				Наличие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип флагштока				Настольный	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал флагштока				Пластик	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Высота флагштока	30				СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р 51130-2023; ГОСТ Р 51131-98; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
594	Флажная продукция? тип 5	13.92.29.190	022	ШТ	Вид флага (знамени)				Государственный флаг Российской Федерации	-	Флаги Российской Федерации	13.92.29.190-00000011	13.92.29.190-022	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Вид флажной продукции				Флаг	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					По типу использования				На открытом воздухе	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип				Односторонний	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Длина				210	СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Ширина				140	СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал			"Полиэфирный шелк; Флажная сетка"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Флагшток в комплекте				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Способ крепления			"Карман; Карман, петли - 2 шт.; Карман, петля"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Обшивка по периметру				Наличие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р 51130-2023; ГОСТ Р 51131-98; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
595	Флажная продукция? тип 6	13.92.29.190	023	ШТ	Вид флага (знамени)				Государственный флаг Российской Федерации	-	Флаги Российской Федерации	13.92.29.190-00000011	13.92.29.190-023	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Вид флажной продукции				Флаг	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					По типу использования			"На открытом воздухе; В помещении"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип				Односторонний	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Длина	36	45			СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Ширина	24	30			СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал			"Полиэфирный шелк; Флажная сетка; Оксфорд"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип флагштока			"Ручной; Кронштейн"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Кронштейн в комплекте			"Наличие; Отсутствие"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Флагшток в комплекте			"Наличие; Отсутствие"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Крепление			"Карман для древка; Люверсы; Петли"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р 51130-2023; ГОСТ Р 51131-98; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
596	Флажная продукция? тип 7	13.92.29.190	024	ШТ	Вид флага (знамени)				Государственный флаг Российской Федерации	-	Флаги Российской Федерации	13.92.29.190-00000011	13.92.29.190-024	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Вид флажной продукции				Флаг	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					По типу использования				В помещении	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип				Двусторонний	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Длина				150	СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Ширина				100	СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал				Атлас	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Флагшток в комплекте				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Способ крепления			"Карман; Карман, петли - 2 шт.; Карман, петля"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Обшивка по периметру				Наличие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р 51130-2023; ГОСТ Р 51131-98; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
597	Флажная продукция? тип 8	13.92.29.190	030	ШТ	Вид флага (знамени)				Государственный флаг Российской Федерации	-	Флаги Российской Федерации на флагштоке протокольные (напольные)	13.92.29.190-00000011	13.92.29.190-030	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Вид флажной продукции				Флаг	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					По типу использования				В помещении	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип				Двусторонний	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Состав комплекта				Флаг, напольный флагшток, состоящий из подставки (основания), древка, навершия	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Длина флага				150	СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Ширина флага				100	СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал флага			"Атлас; Сатен; Габардин"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Обшивка по периметру флага				Наличие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Способ крепления флага			"Карман; Карман, петля"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Высота флагштока	200	230			СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал флагштока				Дерево	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Покрытие лаком флагштока				Наличие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Цвет флагштока			"Темное дерево; Темный бук; Орех"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Диаметр древка	3,4	4			СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
